Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt
1000,0.12,0.4,0.3,0.18,0,1
2000,0.12,0.38,0.32,0.18,0,1
3000,0.98,0,0,0.02,0.1,0.9
4000,1,0,0,0,0,1
5000,1,0,0,0,0,1
6000,0.96,0.04,0,0,0,1
7000,1,0,0,0,0.1,0.9
8000,0.98,0.02,0,0,0,1
9000,1,0,0,0,0,1
10000,0.98,0,0.02,0,0.1,0.9
11000,1,0,0,0,0,1
12000,0.98,0,0.02,0,0,1
13000,1,0,0,0,0,1
14000,1,0,0,0,0.2,0.8
15000,1,0,0,0,0,1
16000,1,0,0,0,0,1
17000,0.98,0,0.02,0,0,1
18000,1,0,0,0,0,1
19000,1,0,0,0,0,1
20000,1,0,0,0,0,1
21000,1,0,0,0,0.1,0.9
22000,0.98,0,0.02,0,0,1
23000,0.98,0,0.02,0,0,1
24000,0.98,0,0.02,0,0,1
25000,0.98,0,0,0.02,0,1
26000,0.98,0,0,0.02,0,1
27000,1,0,0,0,0,1
28000,1,0,0,0,0,1
29000,1,0,0,0,0,1
30000,0.98,0,0,0.02,0,1
31000,1,0,0,0,0,1
32000,1,0,0,0,0,1
33000,0.98,0.02,0,0,0,1
34000,0.98,0,0,0.02,0,1
35000,1,0,0,0,0,1
36000,0.98,0,0.02,0,0,1
37000,1,0,0,0,0,1
38000,0.98,0.02,0,0,0,1
39000,1,0,0,0,0,1
40000,0.98,0.02,0,0,0,1
41000,1,0,0,0,0,1
42000,1,0,0,0,0.1,0.9
43000,1,0,0,0,0,1
44000,1,0,0,0,0,1
45000,1,0,0,0,0,1
46000,1,0,0,0,0,1
47000,0.96,0.02,0.02,0,0,1
48000,0.98,0,0,0.02,0.1,0.9
49000,1,0,0,0,0,1
50000,1,0,0,0,0,1
51000,1,0,0,0,0,1
52000,0.98,0,0,0.02,0,1
53000,1,0,0,0,0,1
54000,0.98,0.02,0,0,0,1
55000,1,0,0,0,0,1
56000,0.96,0.02,0.02,0,0,1
57000,1,0,0,0,0,1
58000,1,0,0,0,0,1
59000,1,0,0,0,0,1
60000,0.98,0.02,0,0,0,1
61000,0.98,0,0,0.02,0,1
62000,1,0,0,0,0,1
63000,1,0,0,0,0.1,0.9
64000,0.98,0.02,0,0,0,1
65000,0.98,0,0.02,0,0,1
66000,1,0,0,0,0,1
67000,1,0,0,0,0,1
68000,1,0,0,0,0,1
69000,1,0,0,0,0,1
70000,1,0,0,0,0,1
71000,1,0,0,0,0,1
72000,1,0,0,0,0,1
73000,0.98,0,0.02,0,0,1
74000,0.98,0,0.02,0,0.1,0.9
75000,1,0,0,0,0,1
76000,1,0,0,0,0,1
77000,1,0,0,0,0,1
78000,1,0,0,0,0,1
79000,0.96,0,0.02,0.02,0,1
80000,0.98,0.02,0,0,0,1
81000,1,0,0,0,0,1
82000,0.98,0,0,0.02,0,1
83000,1,0,0,0,0,1
84000,1,0,0,0,0,1
85000,1,0,0,0,0,1
86000,1,0,0,0,0,1
87000,1,0,0,0,0,1
88000,1,0,0,0,0,1
89000,1,0,0,0,0,1
90000,1,0,0,0,0,1
91000,1,0,0,0,0,1
92000,1,0,0,0,0.1,0.9
93000,1,0,0,0,0,1
94000,0.98,0,0,0.02,0,1
95000,1,0,0,0,0,1
96000,0.96,0,0.02,0.02,0,1
97000,0.98,0,0.02,0,0,1
98000,0.96,0.04,0,0,0,1
99000,1,0,0,0,0,1
100000,0.96,0.04,0,0,0,1
101000,1,0,0,0,0,1
102000,1,0,0,0,0,1
103000,0.96,0,0.04,0,0,1
104000,1,0,0,0,0.1,0.9
105000,0.98,0,0,0.02,0,1
106000,0.98,0.02,0,0,0,1
107000,1,0,0,0,0,1
108000,1,0,0,0,0,1
109000,1,0,0,0,0,1
110000,0.98,0.02,0,0,0,1
111000,0.98,0.02,0,0,0,1
112000,1,0,0,0,0,1
113000,1,0,0,0,0,1
114000,0.98,0,0,0.02,0,1
115000,1,0,0,0,0,1
116000,1,0,0,0,0,1
117000,1,0,0,0,0,1
118000,1,0,0,0,0.1,0.9
119000,0.98,0,0.02,0,0,1
120000,0.98,0,0.02,0,0,1
121000,1,0,0,0,0,1
122000,1,0,0,0,0,1
123000,0.96,0.02,0.02,0,0,1
124000,0.98,0.02,0,0,0,1
125000,1,0,0,0,0,1
126000,1,0,0,0,0,1
127000,1,0,0,0,0,1
128000,0.98,0,0,0.02,0,1
129000,1,0,0,0,0,1
130000,0.98,0.02,0,0,0,1
131000,1,0,0,0,0,1
132000,1,0,0,0,0,1
133000,1,0,0,0,0,1
134000,1,0,0,0,0,1
135000,0.96,0,0.02,0.02,0,1
136000,0.98,0.02,0,0,0,1
137000,1,0,0,0,0,1
138000,1,0,0,0,0,1
139000,1,0,0,0,0,1
