Generation, OptimisticCooperator, PrudentCooperator, OptimisticDefector, PrudentDefector, Honest, Corrupt
10, 0.1075, 0, 0.4675, 0.425, 0.5, 0.5
20, 0.385, 0, 0.5, 0.115, 0.5, 0.5
30, 0.24, 0, 0.4725, 0.2875, 0.5, 0.5
40, 0.475, 0, 0.2075, 0.3175, 0.5, 0.5
50, 0.4475, 0, 0.105, 0.4475, 0.5, 0.5
60, 0.2925, 0, 0.5375, 0.17, 0.5, 0.5
70, 0.41, 0, 0.21, 0.38, 0.5, 0.5
80, 0.495, 0, 0.225, 0.28, 0.5, 0.5
90, 0.1975, 0, 0.34, 0.4625, 0.5, 0.5
100, 0.27, 0, 0.535, 0.195, 0.5, 0.5
110, 0.32, 0, 0.405, 0.275, 0.5, 0.5
120, 0.335, 0, 0.5175, 0.1475, 0.5, 0.5
130, 0.125, 0, 0.485, 0.39, 0.5, 0.5
140, 0.285, 0, 0.5325, 0.1825, 0.5, 0.5
150, 0.2575, 0, 0.56, 0.1825, 0.5, 0.5
160, 0.465, 0, 0.3175, 0.2175, 0.5, 0.5
170, 0.17, 0, 0.4025, 0.4275, 0.5, 0.5
180, 0.485, 0, 0.1275, 0.3875, 0.5, 0.5
190, 0.08, 0, 0.37, 0.55, 0.5, 0.5
200, 0.18, 0, 0.295, 0.525, 0.5, 0.5
210, 0.215, 0, 0.2475, 0.5375, 0.5, 0.5
220, 0.43, 0, 0.215, 0.355, 0.5, 0.5
230, 0.1925, 0, 0.2275, 0.58, 0.5, 0.5
240, 0.415, 0, 0.3875, 0.1975, 0.5, 0.5
250, 0.3, 0, 0.575, 0.125, 0.5, 0.5
260, 0.2475, 0, 0.3725, 0.38, 0.5, 0.5
270, 0.4925, 0, 0.315, 0.1925, 0.5, 0.5
280, 0.465, 0, 0.0625, 0.4725, 0.5, 0.5
290, 0.5025, 0, 0, 0.4975, 0.5, 0.5
300, 0.5025, 0, 0, 0.4975, 0.5, 0.5
310, 0.5025, 0, 0, 0.4975, 0.5, 0.5
320, 0.5025, 0, 0, 0.4975, 0.5, 0.5
330, 0.5025, 0, 0, 0.4975, 0.5, 0.5
340, 0.5025, 0, 0, 0.4975, 0.5, 0.5
350, 0.5025, 0, 0, 0.4975, 0.5, 0.5
360, 0.5025, 0, 0, 0.4975, 0.5, 0.5
370, 0.5025, 0, 0, 0.4975, 0.5, 0.5
380, 0.5025, 0, 0, 0.4975, 0.5, 0.5
390, 0.5025, 0, 0, 0.4975, 0.5, 0.5
400, 0.5025, 0, 0, 0.4975, 0.5, 0.5
410, 0.5025, 0, 0, 0.4975, 0.5, 0.5
420, 0.5025, 0, 0, 0.4975, 0.5, 0.5
430, 0.5025, 0, 0, 0.4975, 0.5, 0.5
440, 0.5025, 0, 0, 0.4975, 0.5, 0.5
450, 0.5025, 0, 0, 0.4975, 0.5, 0.5
460, 0.5025, 0, 0, 0.4975, 0.5, 0.5
470, 0.5025, 0, 0, 0.4975, 0.5, 0.5
480, 0.5025, 0, 0, 0.4975, 0.5, 0.5
490, 0.5025, 0, 0, 0.4975, 0.5, 0.5
