Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt,b,c,f,h,a,B,playerExplorationProbability,umpireExplorationProbability,imitationStrength,Completion
0,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,0.0000%
1000,0.1800,0.2800,0.2200,0.3200,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,1.0000%
2000,0.1600,0.2400,0.3200,0.2800,0.2000,0.8000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,2.0000%
3000,0.2400,0.1800,0.2800,0.3000,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,3.0000%
4000,0.2200,0.3000,0.2600,0.2200,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,4.0000%
5000,0.2800,0.2200,0.2800,0.2200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,5.0000%
6000,0.2600,0.2400,0.3000,0.2000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,6.0000%
7000,0.3200,0.2600,0.2000,0.2200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,7.0000%
8000,0.2000,0.3400,0.1400,0.3200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,8.0000%
9000,0.3600,0.2600,0.1600,0.2200,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,9.0000%
10000,0.2600,0.2400,0.2800,0.2200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,10.0000%
11000,0.2200,0.2400,0.3000,0.2400,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,11.0000%
12000,0.2600,0.2600,0.1600,0.3200,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,12.0000%
