Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
0,1,0,0,0,1,0,0%
100,0.64,0.36,0.042,0.03,0.904,0.024,0.1%
200,0.56,0.44,0.036,0.056,0.888,0.02,0.2%
300,0.61,0.39,0.028,0.012,0.946,0.014,0.3%
400,0.37,0.63,0.05,0.022,0.904,0.024,0.4%
500,0.44,0.56,0.012,0.022,0.942,0.024,0.5%
600,0.62,0.38,0.044,0.038,0.908,0.01,0.6%
700,0.45,0.55,0.034,0.004,0.938,0.024,0.7%
800,0.6,0.4,0.016,0.02,0.916,0.048,0.8%
900,0.56,0.44,0.052,0.032,0.896,0.02,0.9%
1000,0.66,0.34,0.044,0.028,0.898,0.03,1%
1100,0.45,0.55,0.03,0.03,0.918,0.022,1.1%
1200,0.48,0.52,0.012,0.028,0.942,0.018,1.2%
1300,0.34,0.66,0.028,0.028,0.926,0.018,1.3%
1400,0.56,0.44,0.042,0.034,0.908,0.016,1.4%
1500,0.54,0.46,0.014,0.058,0.892,0.036,1.5%
1600,0.59,0.41,0.034,0.04,0.918,0.008,1.6%
1700,0.59,0.41,0.04,0.044,0.86,0.056,1.7%
1800,0.39,0.61,0.012,0.012,0.902,0.074,1.8%
1900,0.77,0.23,0.026,0.034,0.91,0.03,1.9%
2000,0.27,0.73,0.052,0.062,0.808,0.078,2%
2100,0.42,0.58,0.012,0.046,0.906,0.036,2.1%
2200,0.61,0.39,0.02,0.008,0.928,0.044,2.2%
2300,0.55,0.45,0.024,0.02,0.934,0.022,2.3%
2400,0.55,0.45,0.014,0.016,0.946,0.024,2.4%
2500,0.65,0.35,0.044,0.024,0.896,0.036,2.5%
2600,0.4,0.6,0.07,0.016,0.872,0.042,2.6%
2700,0.57,0.43,0.036,0.014,0.912,0.038,2.7%
2800,0.69,0.31,0.034,0.022,0.916,0.028,2.8%
2900,0.53,0.47,0.02,0.016,0.95,0.014,2.9%
3000,0.68,0.32,0.032,0.032,0.924,0.012,3%
3100,0.47,0.53,0.052,0.068,0.852,0.028,3.1%
3200,0.47,0.53,0.072,0.026,0.886,0.016,3.2%
3300,0.43,0.57,0.052,0.05,0.89,0.008,3.3%
3400,0.72,0.28,0.032,0.01,0.946,0.012,3.4%
3500,0.5,0.5,0.044,0.028,0.914,0.014,3.5%
3600,0.49,0.51,0.012,0.014,0.938,0.036,3.6%
3700,0.42,0.58,0.028,0.026,0.926,0.02,3.7%
3800,0.51,0.49,0.034,0.022,0.922,0.022,3.8%
3900,0.73,0.27,0.022,0.006,0.956,0.016,3.9%
4000,0.56,0.44,0.02,0.024,0.924,0.032,4%
4100,0.3,0.7,0.024,0.018,0.94,0.018,4.1%
4200,0.41,0.59,0.028,0.032,0.932,0.008,4.2%
4300,0.47,0.53,0.02,0.028,0.926,0.026,4.3%
4400,0.51,0.49,0.016,0.032,0.914,0.038,4.4%
4500,0.55,0.45,0.022,0.04,0.914,0.024,4.5%
4600,0.37,0.63,0.012,0.03,0.944,0.014,4.6%
4700,0.57,0.43,0.014,0.056,0.916,0.014,4.7%
4800,0.45,0.55,0.006,0.012,0.974,0.008,4.8%
4900,0.67,0.33,0.014,0.032,0.922,0.032,4.9%
5000,0.45,0.55,0.008,0.022,0.958,0.012,5%
5100,0.59,0.41,0.034,0.028,0.906,0.032,5.1%
5200,0.57,0.43,0.02,0.04,0.902,0.038,5.2%
5300,0.53,0.47,0.022,0.05,0.89,0.038,5.3%
5400,0.61,0.39,0.01,0.014,0.944,0.032,5.4%
5500,0.46,0.54,0.006,0.01,0.884,0.1,5.5%
5600,0.53,0.47,0.042,0.014,0.914,0.03,5.6%
5700,0.59,0.41,0.03,0.014,0.948,0.008,5.7%
5800,0.32,0.68,0.036,0.04,0.91,0.014,5.8%
5900,0.44,0.56,0.086,0.034,0.852,0.028,5.9%
6000,0.59,0.41,0.026,0.034,0.916,0.024,6%
6100,0.49,0.51,0.008,0.044,0.926,0.022,6.1%
6200,0.39,0.61,0.046,0.04,0.886,0.028,6.2%
6300,0.54,0.46,0.016,0.034,0.906,0.044,6.3%
6400,0.52,0.48,0.046,0.004,0.92,0.03,6.4%
6500,0.48,0.52,0.004,0.012,0.954,0.03,6.5%
6600,0.68,0.32,0.036,0.016,0.912,0.036,6.6%
6700,0.54,0.46,0.04,0.036,0.922,0.002,6.7%
6800,0.42,0.58,0.042,0.026,0.89,0.042,6.8%
6900,0.43,0.57,0.038,0.036,0.864,0.062,6.9%
7000,0.45,0.55,0.022,0.032,0.93,0.016,7%
